,Compound Rating,Date,Negative Rating,Neutral Rating,Positive Rating,Source Account,Text
115,0.5859,Thu Apr 05 21:44:00 +0000 2018,0.0,0.806,0.194,CBS,How well do you know The Academy of Country Music Awards™? Test your knowledge of Country Music’s Party of the Year… https://t.co/lfWAcvAbZa
116,0.6597,Thu Apr 05 19:07:48 +0000 2018,0.0,0.759,0.241,CBS,"RT @CodeBlackCBS: The intensity and emotions of your favorite show are returning to @CBS in 3 weeks.

Get excited. https://t.co/aGUNIPwRjh"
117,-0.3875,Thu Apr 05 17:00:00 +0000 2018,0.157,0.769,0.074,CBS,"Don't miss @littlebigtown's amazing performance of @eltonofficial's ""Rocket Man"" under the big spotlight at Elton J… https://t.co/bqse7nhkV3"
118,0.807,Wed Apr 04 22:07:01 +0000 2018,0.0,0.687,0.313,CBS,Today's biggest stars are celebrating @EltonJohn's most beloved and legendary catalogue of hits with two albums dro… https://t.co/cilUdkKtjQ
119,0.7568,Wed Apr 04 21:48:07 +0000 2018,0.0,0.712,0.288,CBS,"RT @LifeInPiecesCBS: We ""literally can't even"" with how hilarious these #LifeInPieces outtakes are! 😂

Introducing Laughing To Pieces! Foll…"
120,0.8495,Wed Apr 04 21:47:26 +0000 2018,0.0,0.634,0.366,CBS,"RT @YoungSheldon: Don't miss guest star @Followtheblonde in tomorrow's all-new #YoungSheldon! Trust us, you're going to love every minute.…"
121,0.4926,Wed Apr 04 21:46:13 +0000 2018,0.0,0.803,0.197,CBS,RT @MomCBS: Tomorrow's episode of #Mom is going to be a doggone good one! https://t.co/e1WI3uOxVg
122,-0.3182,Wed Apr 04 21:44:17 +0000 2018,0.095,0.905,0.0,CBS,RT @survivorcbs: There's a lot at stake when competing for actual steak. Get a glimpse at an all-new #Survivor: Ghost Island at 8/7c on CBS…
123,-0.25,Wed Apr 04 18:02:13 +0000 2018,0.133,0.867,0.0,CBS,RT @TVLine: #LifeInPieces Sneak Peek: Sophia and Her Stuffed Toys Stage a Musical Protest https://t.co/r16SLZlZPc
124,0.0,Tue Apr 03 23:00:00 +0000 2018,0.0,1.0,0.0,CBS,Whose catchy tune will take Song Of The Year at the 53rd #ACMawards? Give it up for the four nominees -… https://t.co/R9MtUNZtsw
125,0.0,Tue Apr 03 21:00:02 +0000 2018,0.0,1.0,0.0,CBS,"Here's everything you need to know before tuning into Elton John: I'm Still Standing - A GRAMMY® Salute on Tuesday,… https://t.co/C8fiKl4j98"
126,0.7096,Tue Apr 03 18:00:00 +0000 2018,0.0,0.742,0.258,CBS,"In just one week, @eltonofficial and today's hottest stars in music will join together to celebrate Elton's countle… https://t.co/ACQGHNWz8u"
127,0.7906,Tue Apr 03 05:17:01 +0000 2018,0.0,0.579,0.421,CBS,Tonight we #LightItUpBlue for greater understanding and acceptance. CBS supports #WorldAutismAwarenessDay by lighti… https://t.co/hBAXcDvP4r
128,0.1513,Mon Apr 02 17:30:00 +0000 2018,0.092,0.792,0.116,CBS,No one does it quite like @eltonofficial. The artist himself will belt out some of his chart-topping hits on Elton… https://t.co/ckY4bUvTXI
129,0.6486,Sun Apr 01 17:00:03 +0000 2018,0.0,0.798,0.202,CBS,The Las Vegas strip is about to light up brighter than ever before when Country Music’s Party Of The Year® takes ov… https://t.co/j1A2ZVHAoO
130,0.0,Sat Mar 31 18:00:00 +0000 2018,0.0,1.0,0.0,CBS,"“If you don’t do something about it, then who are you? … It can happen to anyone.” - @aplusk 

Tonight at 10/9c, a… https://t.co/EQabNc1UZI"
131,0.4199,Sat Mar 31 15:30:00 +0000 2018,0.0,0.887,0.113,CBS,Give it up for @KelseaBallerini! This star is one of the Female Vocalist Of The Year nominees and she's ready to ta… https://t.co/wLyHwkEGs2
132,0.4926,Fri Mar 30 16:50:00 +0000 2018,0.0,0.873,0.127,CBS,Take and post a photo of the woman in your life who inspires you! The photo should only have one person against a n… https://t.co/BHdxXlWfKP
